Sort Name,Date and Time,Test Number,Git Branch,Git Hash,Command Line Executed,Text File,Count of Strings,Type of File,Execution Time (real, to nearest ms)
selectionSort,10/14/22 01:41:12,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./selectionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,193.253
selectionSort,10/14/22 01:44:25,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./selectionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,192.957
selectionSort,10/14/22 01:47:39,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./selectionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,193.537
selectionSort,10/14/22 01:50:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./selectionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,193.102
selectionSort,10/14/22 01:50:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.006
selectionSort,10/14/22 01:50:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
selectionSort,10/14/22 01:50:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
selectionSort,10/14/22 01:50:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.003
selectionSort,10/14/22 01:50:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.003
selectionSort,10/14/22 01:50:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
selectionSort,10/14/22 01:50:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
selectionSort,10/14/22 01:50:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
selectionSort,10/14/22 01:50:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
selectionSort,10/14/22 01:50:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
selectionSort,10/14/22 01:50:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
selectionSort,10/14/22 01:50:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
selectionSort,10/14/22 01:50:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
selectionSort,10/14/22 01:50:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
selectionSort,10/14/22 01:50:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
selectionSort,10/14/22 01:50:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.024
selectionSort,10/14/22 01:50:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.024
selectionSort,10/14/22 01:50:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.025
selectionSort,10/14/22 01:50:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.025
selectionSort,10/14/22 01:50:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.025
selectionSort,10/14/22 01:50:54,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,2.053
selectionSort,10/14/22 01:50:57,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,2.052
selectionSort,10/14/22 01:50:59,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,2.063
selectionSort,10/14/22 01:51:01,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,2.056
selectionSort,10/14/22 01:51:03,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,2.154
selectionSort,10/14/22 01:54:28,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,205.352
selectionSort,10/14/22 01:57:53,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,204.842
selectionSort,10/14/22 02:01:18,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,205.103
selectionSort,10/14/22 02:04:44,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,205.509
selectionSort,10/14/22 02:08:09,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./selectionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,205.252
selectionSort,10/14/22 02:08:09,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./selectionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.006
selectionSort,10/14/22 02:08:09,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./selectionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.004
selectionSort,10/14/22 02:08:09,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./selectionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.004
selectionSort,10/14/22 02:08:09,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./selectionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.004
selectionSort,10/14/22 02:08:09,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./selectionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.003
selectionSort,10/14/22 02:08:09,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./selectionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.004
selectionSort,10/14/22 02:08:09,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./selectionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.004
selectionSort,10/14/22 02:08:09,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./selectionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
selectionSort,10/14/22 02:08:09,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./selectionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
selectionSort,10/14/22 02:08:09,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./selectionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
selectionSort,10/14/22 02:08:09,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./selectionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
selectionSort,10/14/22 02:08:09,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./selectionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
selectionSort,10/14/22 02:08:09,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./selectionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
selectionSort,10/14/22 02:08:09,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./selectionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
selectionSort,10/14/22 02:08:09,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./selectionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
selectionSort,10/14/22 02:08:09,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./selectionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.024
selectionSort,10/14/22 02:08:09,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./selectionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.024
selectionSort,10/14/22 02:08:09,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./selectionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.024
selectionSort,10/14/22 02:08:09,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./selectionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.030
selectionSort,10/14/22 02:08:09,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./selectionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.024
selectionSort,10/14/22 02:08:11,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./selectionSort > /dev/null,random.txt10e4.txt,10000,random.txt,1.958
selectionSort,10/14/22 02:08:13,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./selectionSort > /dev/null,random.txt10e4.txt,10000,random.txt,1.957
selectionSort,10/14/22 02:08:15,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./selectionSort > /dev/null,random.txt10e4.txt,10000,random.txt,1.970
selectionSort,10/14/22 02:08:17,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./selectionSort > /dev/null,random.txt10e4.txt,10000,random.txt,1.956
selectionSort,10/14/22 02:08:19,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./selectionSort > /dev/null,random.txt10e4.txt,10000,random.txt,1.975
selectionSort,10/14/22 02:11:32,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./selectionSort > /dev/null,random.txt10e5.txt,100000,random.txt,192.341
selectionSort,10/14/22 02:14:44,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./selectionSort > /dev/null,random.txt10e5.txt,100000,random.txt,192.154
selectionSort,10/14/22 02:17:56,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./selectionSort > /dev/null,random.txt10e5.txt,100000,random.txt,192.111
selectionSort,10/14/22 02:21:08,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./selectionSort > /dev/null,random.txt10e5.txt,100000,random.txt,192.362
selectionSort,10/14/22 02:24:21,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./selectionSort > /dev/null,random.txt10e5.txt,100000,random.txt,192.560
